id_parcelle,date_gee,date_modis,ecart_jours,ndvi_moy_gee,ndvi_moy_modis,ndvi_med_gee,ndvi_med_modis,erreur_moy,erreur_med,rmse
1,2026-04-02,2026-03-30,3,0.6879981155039837,0.2594293706293706,0.7071388896155515,0.0,0.4285687448746131,0.7071388896155515,0.4285687448746131
1,2026-04-02,2026-03-30,3,0.68906771183139,0.2594293706293706,0.7147913880594126,0.0,0.42963834120201944,0.7147913880594126,0.42963834120201944
1,2025-09-04,2025-09-06,2,0.5588983479531546,0.24036783216783217,0.5742316030443084,0.0,0.31853051578532243,0.5742316030443084,0.31853051578532243
1,2025-09-04,2025-09-06,2,0.569050693566539,0.24036783216783217,0.5899400767518516,0.0,0.32868286139870684,0.5899400767518516,0.32868286139870684
1,2025-09-12,2025-09-14,2,0.5881404541009673,0.22214475524475524,0.6053702138236976,0.0,0.365995698856212,0.6053702138236976,0.365995698856212
1,2025-09-12,2025-09-14,2,0.5927200089517461,0.22214475524475524,0.6134599173776956,0.0,0.3705752537069909,0.6134599173776956,0.3705752537069909
1,2025-09-14,2025-09-14,0,0.5608094181139537,0.22214475524475524,0.5820849883426176,0.0,0.33866466286919844,0.5820849883426176,0.33866466286919844
1,2025-09-14,2025-09-14,0,0.5733011244705339,0.22214475524475524,0.5976819276400586,0.0,0.3511563692257787,0.5976819276400586,0.3511563692257787
1,2025-09-16,2025-09-14,2,0.559121705404204,0.22214475524475524,0.5819086379247587,0.0,0.3369769501594488,0.5819086379247587,0.3369769501594488
1,2025-09-17,2025-09-14,3,0.5688014991790048,0.22214475524475524,0.5900294752282844,0.0,0.34665674393424956,0.5900294752282844,0.34665674393424956
1,2025-10-02,2025-09-30,2,0.5761441503293232,0.22148041958041956,0.5976897517239091,0.0,0.35466373074890367,0.5976897517239091,0.35466373074890367
1,2025-10-02,2025-09-30,2,0.5814824722721889,0.22148041958041956,0.5976763840585353,0.0,0.3600020526917693,0.5976763840585353,0.3600020526917693
1,2025-10-07,2025-10-08,1,0.5694658316540785,0.23298811188811192,0.5898740735979955,0.0,0.3364777197659666,0.5898740735979955,0.3364777197659666
1,2025-10-07,2025-10-08,1,0.5743729645709142,0.23298811188811192,0.5900171471082569,0.0,0.34138485268280233,0.5900171471082569,0.34138485268280233
1,2025-10-14,2025-10-16,2,0.55293813797589,0.2437979020979021,0.5664381652306204,0.0,0.3091402358779879,0.5664381652306204,0.3091402358779879
1,2025-10-14,2025-10-16,2,0.559457609694396,0.2437979020979021,0.574280872427419,0.0,0.31565970759649387,0.574280872427419,0.31565970759649387
1,2025-10-17,2025-10-16,1,0.5873214673006091,0.2437979020979021,0.6055623083921698,0.0,0.343523565202707,0.6055623083921698,0.343523565202707
1,2025-10-17,2025-10-16,1,0.5944726833161399,0.2437979020979021,0.6132928639283003,0.0,0.3506747812182378,0.6132928639283003,0.3506747812182378
1,2025-10-19,2025-10-16,3,0.4854178403241419,0.2437979020979021,0.48240822985451426,0.0,0.2416199382262398,0.48240822985451426,0.2416199382262398
1,2025-10-19,2025-10-16,3,0.49230329562861935,0.2437979020979021,0.4902362016366219,0.0,0.24850539353071724,0.4902362016366219,0.24850539353071724
1,2025-10-24,2025-10-24,0,0.5871782293412074,0.2521167832167832,0.6054368873949209,0.0,0.33506144612442423,0.6054368873949209,0.33506144612442423
1,2025-10-24,2025-10-24,0,0.5945688370899955,0.2521167832167832,0.6130437302258283,0.0,0.3424520538732123,0.6130437302258283,0.3424520538732123
1,2025-10-27,2025-10-24,3,0.5976941167859168,0.2521167832167832,0.6134723950442993,0.0,0.34557733356913356,0.6134723950442993,0.34557733356913356
1,2025-10-27,2025-10-24,3,0.6033768777214502,0.2521167832167832,0.6211448528601043,0.0,0.351260094504667,0.6211448528601043,0.351260094504667
1,2025-11-11,2025-11-09,2,0.6268129833223518,0.27140349650349654,0.6445010980111622,0.0,0.35540948681885526,0.6445010980111622,0.35540948681885526
1,2025-11-11,2025-11-09,2,0.6304031297887824,0.27140349650349654,0.6446072450581823,0.0,0.3589996332852859,0.6446072450581823,0.3589996332852859
1,2025-11-26,2025-11-25,1,0.751667524824943,0.28132797202797205,0.7774085502379737,0.0,0.470339552796971,0.7774085502379737,0.470339552796971
1,2025-11-26,2025-11-25,1,0.7540950443265878,0.28132797202797205,0.7773258061121849,0.0,0.47276707229861575,0.7773258061121849,0.47276707229861575
1,2025-11-28,2025-11-25,3,0.7197045536697829,0.28132797202797205,0.7460832243968177,0.0,0.43837658164181087,0.7460832243968177,0.43837658164181087
1,2025-11-28,2025-11-25,3,0.7282701443651846,0.28132797202797205,0.754017938817922,0.0,0.4469421723372125,0.754017938817922,0.4469421723372125
1,2025-11-28,2025-11-25,3,0.7365773601567265,0.28132797202797205,0.7616865360451531,0.0,0.45524938812875443,0.7616865360451531,0.45524938812875443
1,2025-11-28,2025-11-25,3,0.7418987455479543,0.28132797202797205,0.7695702276026298,0.0,0.46057077351998227,0.7695702276026298,0.46057077351998227
1,2025-12-01,2025-12-03,2,0.7584670224989346,0.2735958041958042,0.785077613066905,0.0,0.4848712183031304,0.785077613066905,0.4848712183031304
1,2025-12-01,2025-12-03,2,0.7574693727222537,0.2735958041958042,0.7851023185247823,0.0,0.48387356852644947,0.7851023185247823,0.48387356852644947
1,2025-12-05,2025-12-03,2,0.7309170313738637,0.2735958041958042,0.7538845849008449,0.0,0.45732122717805945,0.7538845849008449,0.45732122717805945
1,2025-12-06,2025-12-03,3,0.7514855957834178,0.2735958041958042,0.7772505428972049,0.0,0.4778897915876136,0.7772505428972049,0.4778897915876136
1,2025-12-06,2025-12-03,3,0.7576396362587273,0.2735958041958042,0.7851659485144237,0.0,0.4840438320629231,0.7851659485144237,0.4840438320629231
1,2025-12-08,2025-12-11,3,0.7270061388998601,0.23586083916083914,0.7460502046252485,0.0,0.491145299739021,0.7460502046252485,0.491145299739021
1,2025-12-08,2025-12-11,3,0.7335317748940879,0.23586083916083914,0.7539502038500121,0.0,0.49767093573324883,0.7539502038500121,0.49767093573324883
1,2025-12-08,2025-12-11,3,0.7476847048130681,0.23586083916083914,0.769498170083825,0.0,0.511823865652229,0.769498170083825,0.511823865652229
1,2025-12-18,2025-12-19,1,0.7493611947369833,0.16905314685314687,0.7694809280419665,0.0,0.5803080478838364,0.7694809280419665,0.5803080478838364
1,2025-12-18,2025-12-19,1,0.7529458349652148,0.16905314685314687,0.7772221323422168,0.0,0.583892688112068,0.7772221323422168,0.583892688112068
1,2025-12-18,2025-12-19,1,0.7520990627067359,0.16905314685314687,0.7773294193681421,0.0,0.583045915853589,0.7773294193681421,0.583045915853589
1,2026-01-12,2026-01-09,3,0.7717682062674496,0.28026223776223774,0.7931076762968587,0.0,0.49150596850521183,0.7931076762968587,0.49150596850521183
1,2026-01-12,2026-01-09,3,0.7699653331541025,0.28026223776223774,0.7851518949892528,0.0,0.4897030953918648,0.7851518949892528,0.4897030953918648
1,2026-02-16,2026-02-18,2,0.6519694234081651,0.2552188811188811,0.6601584597832537,0.0,0.396750542289284,0.6601584597832537,0.396750542289284
1,2026-02-16,2026-02-18,2,,0.2552188811188811,,0.0,,,
1,2026-02-16,2026-02-18,2,0.66274831834672,0.2552188811188811,0.6758819813554484,0.0,0.4075294372278389,0.6758819813554484,0.4075294372278389
1,2026-02-16,2026-02-18,2,0.6615198525295972,0.2552188811188811,0.6757080406721431,0.0,0.40630097141071614,0.6757080406721431,0.40630097141071614
1,2026-02-21,2026-02-18,3,0.6734471313338836,0.2552188811188811,0.6836237379010559,0.0,0.4182282502150025,0.6836237379010559,0.4182282502150025
1,2026-02-21,2026-02-18,3,0.6703048991874914,0.2552188811188811,0.6836557645415735,0.0,0.4150860180686103,0.6836557645415735,0.4150860180686103
1,2026-02-24,2026-02-26,2,0.6663936762079107,0.25531678321678325,0.6777760570454955,0.0,0.41107689299112743,0.6777760570454955,0.41107689299112743
1,2026-02-24,2026-02-26,2,0.6701926731759031,0.25531678321678325,0.6837009230721567,0.0,0.4148758899591199,0.6837009230721567,0.4148758899591199
1,2026-03-11,2026-03-14,3,0.696613119761522,0.2602020979020979,0.7148396364324803,0.0,0.43641102185942404,0.7148396364324803,0.43641102185942404
1,2026-03-11,2026-03-14,3,0.6958739419711059,0.2602020979020979,0.7148079954434784,0.0,0.43567184406900794,0.7148079954434784,0.43567184406900794
1,2026-03-13,2026-03-14,1,0.6738340787886836,0.2602020979020979,0.6913607591958478,0.0,0.4136319808865857,0.6913607591958478,0.4136319808865857
1,2026-03-13,2026-03-14,1,0.674165155853967,0.2602020979020979,0.691422905326001,0.0,0.41396305795186905,0.691422905326001,0.41396305795186905
1,2026-03-16,2026-03-14,2,0.7018193645011106,0.2602020979020979,0.7147792038189857,0.0,0.4416172665990127,0.7147792038189857,0.4416172665990127
1,2026-03-16,2026-03-14,2,0.7022361878765878,0.2602020979020979,0.7149867751836891,0.0,0.4420340899744899,0.7149867751836891,0.4420340899744899
1,2026-03-28,2026-03-30,2,0.7000978990586273,0.2594293706293706,0.7149822778055287,0.0,0.4406685284292567,0.7149822778055287,0.4406685284292567
1,2026-03-28,2026-03-30,2,0.7009995596381381,0.2594293706293706,0.7226519448382115,0.0,0.4415701890087675,0.7226519448382115,0.4415701890087675
1,2026-03-28,2026-03-30,2,0.7158087664444057,0.2594293706293706,0.7382803144174453,0.0,0.4563793958150351,0.7382803144174453,0.4563793958150351
1,2026-03-28,2026-03-30,2,0.7158060322247904,0.2594293706293706,0.7305569947777101,0.0,0.45637666159541984,0.7305569947777101,0.45637666159541984
1,2026-03-31,2026-03-30,1,0.7123200296928143,0.2594293706293706,0.7382594796610348,0.0,0.45289065906344367,0.7382594796610348,0.45289065906344367
1,2026-03-31,2026-03-30,1,0.7125066114796734,0.2594293706293706,0.7383686740183338,0.0,0.4530772408503028,0.7383686740183338,0.4530772408503028
1,2026-04-02,2026-03-30,3,0.6879981155039837,0.2594293706293706,0.7071388896155515,0.0,0.4285687448746131,0.7071388896155515,0.4285687448746131
1,2026-04-02,2026-03-30,3,0.68906771183139,0.2594293706293706,0.7147913880594126,0.0,0.42963834120201944,0.7147913880594126,0.42963834120201944
